id,name,value
1,user_1,0.7851024708396775
2,user_2,0.8713788823762635
3,user_3,0.9533705838417362
4,user_4,0.2182611537422417
5,user_5,0.5958159071948314
6,user_6,0.1183926905584575
7,user_7,0.7016040069190419
8,user_8,0.9621669378489344
9,user_9,0.3084969957943196
11,user_11,0.6779806527882772
12,user_12,0.1016614395307051
13,user_13,0.3865368734568454
14,user_14,0.3122542236808432
15,user_15,0.241773952111557
16,user_16,0.1517132525840205
17,user_17,0.7902524588695722
18,user_18,0.6506861322673774
19,user_19,0.4343027530158297
20,user_20,0.990503908684292
21,user_21,0.0127697193451455
22,user_22,0.0190608423331597
23,user_23,0.8636437662677428
24,user_24,0.7848557322833741
25,user_25,0.9143462630527628
26,user_26,0.2080760365135211
27,user_27,0.9207392352603256
28,user_28,0.0015484467535115
29,user_29,0.564378008770061
30,user_30,0.8749965518878984
31,user_31,0.1812282499305229
32,user_32,0.3501077651162738
33,user_33,0.4216855408585399
34,user_34,0.3660143265386423
35,user_35,0.5101638525558563
36,user_36,0.4742720796180067
37,user_37,0.5301736448885717
38,user_38,0.4966857916491124
39,user_39,0.095378125402022
40,user_40,0.0040023512284574
41,user_41,0.1954840070274551
42,user_42,0.5359773507995639
43,user_43,0.5401112213088488
44,user_44,0.3985967482921809
45,user_45,0.046517555231429
46,user_46,0.769600650654146
47,user_47,0.2807605941663256
48,user_48,0.3362787450687481
49,user_49,0.6921375523222382
50,user_50,0.7862104600858233
51,user_51,0.495537577736486
52,user_52,0.5640203131968383
53,user_53,0.5803171451943552
54,user_54,0.4548491808721258
55,user_55,0.7965042799833141
57,user_57,0.953831728637336
58,user_58,0.7390586094240745
59,user_59,0.3162477489028354
60,user_60,0.6139490305065824
62,user_62,0.8407829128529375
63,user_63,0.2254319525844599
64,user_64,0.6214227866543963
65,user_65,0.1179329214401228
66,user_66,0.6050062615485714
67,user_67,0.5033303903378702
68,user_68,0.5369131668145771
69,user_69,0.3742595787946423
70,user_70,0.7518488498118443
71,user_71,0.9769927638208654
72,user_72,0.9487059385446244
73,user_73,0.7947554651497993
74,user_74,0.0756791932977486
